comName,sciName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyComName,familySciName,reportAs,extinct,extinctYear
Black-bellied Whistling-Duck,Dendrocygna autumnalis,bbwduc,species,220.0,['BBWD'],[],['DEAU'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Snow Goose,Anser caerulescens,snogoo,species,240.0,['SNGO'],[],['ANCA'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Ross's Goose,Anser rossii,rosgoo,species,243.0,['ROGO'],[],['ANRO'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,sxrgoo1,hybrid,244.0,['SRGH'],"['SNGO', 'ROGO']","['ANRO', 'ANCA']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Snow/Ross's Goose,Anser caerulescens/rossii,y00469,slash,245.0,['SRGO'],"['SNGO', 'ROGO']","['ANRO', 'ANCA']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Graylag Goose (Domestic type),Anser anser (Domestic type),gragoo1,domestic,249.0,[],['GRGO'],['ANAN'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Swan Goose (Domestic type),Anser cygnoides (Domestic type),swagoo2,domestic,251.0,[],['SWGO'],['ANCY'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Greater White-fronted Goose,Anser albifrons,gwfgoo,species,253.0,['GWFG'],[],['ANAL'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Pink-footed Goose,Anser brachyrhynchus,pifgoo,species,272.0,['PFGO'],[],['ANBR'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Cackling Goose,Branta hutchinsii,cacgoo1,species,286.0,['CACG'],['CAGO'],['BRHU'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Canada Goose,Branta canadensis,cangoo,species,297.0,['CANG'],['CAGO'],['BRCA'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Swan Goose (Domestic type) x Canada Goose (hybrid),Anser cygnoides (Domestic type) x Branta canadensis,swagoo3,hybrid,309.0,[],[],[],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,x00415,hybrid,311.0,[],"['GWFG', 'CANG', 'CAGO']","['BRCA', 'ANAL']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis,gragoo4,hybrid,313.0,[],[],[],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis,x00197,hybrid,315.0,[],"['CANG', 'SNGO', 'CAGO']","['BRCA', 'ANCA']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,x00417,hybrid,317.0,[],"['CANG', 'CAGO', 'BAGO', 'BARG']","['BRCA', 'BRLE']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Cackling/Canada Goose,Branta hutchinsii/canadensis,y00470,slash,318.0,['CCGO'],"['CANG', 'CAGO', 'CACG']","['BRCA', 'BRHU']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Mute Swan,Cygnus olor,mutswa,species,330.0,['MUSW'],[],['CYOL'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Trumpeter Swan,Cygnus buccinator,truswa,species,333.0,['TRUS'],['TRSW'],['CYBU'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Tundra Swan,Cygnus columbianus,tunswa,species,335.0,['TUSW'],['BESW'],['CYCO'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Trumpeter/Tundra Swan,Cygnus buccinator/columbianus,y00471,slash,340.0,[],"['BESW', 'TUSW', 'TRUS', 'TRSW']","['CYCO', 'CYBU']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Muscovy Duck (Domestic type),Cairina moschata (Domestic type),musduc2,domestic,390.0,[],['MUDU'],['CAMO'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Wood Duck,Aix sponsa,wooduc,species,397.0,['WODU'],['CWDU'],['AISP'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Blue-winged Teal,Spatula discors,buwtea,species,422.0,['BWTE'],[],['SPDI'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Northern Shoveler,Spatula clypeata,norsho,species,434.0,['NSHO'],"['KOMO', 'NOSH']",['SPCL'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Gadwall,Mareca strepera,gadwal,species,438.0,['GADW'],[],['MAST'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Eurasian Wigeon,Mareca penelope,eurwig,species,443.0,['EUWI'],[],['MAPE'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
American Wigeon,Mareca americana,amewig,species,445.0,['AMWI'],[],['MAAM'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Mallard,Anas platyrhynchos,mallar3,species,471.0,['MALL'],[],['ANPL'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Mallard (Domestic type),Anas platyrhynchos (Domestic type),mallar2,domestic,474.0,[],['MALL'],['ANPL'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,mdxmal1,hybrid,475.0,[],"['MUDU', 'MALL']","['CAMO', 'ANPL']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos,x00420,hybrid,478.0,[],"['GADW', 'MALL']","['MAST', 'ANPL']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
American Black Duck,Anas rubripes,ambduc,species,493.0,['ABDU'],[],['ANRU'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,x00004,hybrid,495.0,['ABDH'],"['ABDU', 'MALL']","['ANRU', 'ANPL']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Mallard/American Black Duck,Anas platyrhynchos/rubripes,y00600,slash,496.0,[],"['ABDU', 'MALL']","['ANRU', 'ANPL']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Northern Pintail,Anas acuta,norpin,species,514.0,['NOPI'],['KOMA'],['ANAC'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Green-winged Teal,Anas crecca,gnwtea,species,529.0,['GWTE'],"['EUTE', 'EWTE', 'EGWT']",['ANCR'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Canvasback,Aythya valisineria,canvas,species,575.0,['CANV'],[],['AYVA'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Redhead,Aythya americana,redhea,species,576.0,['REDH'],[],['AYAM'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Ring-necked Duck,Aythya collaris,rinduc,species,580.0,['RNDU'],[],['AYCO'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Greater Scaup,Aythya marila,gresca,species,596.0,['GRSC'],[],['AYMA'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila,x00779,hybrid,600.0,[],"['GRSC', 'RNDU']","['AYMA', 'AYCO']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Lesser Scaup,Aythya affinis,lessca,species,602.0,['LESC'],[],['AYAF'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Greater/Lesser Scaup,Aythya marila/affinis,scaup,slash,606.0,[],"['LESC', 'GRSC']","['AYMA', 'AYAF']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Harlequin Duck,Histrionicus histrionicus,harduc,species,626.0,['HADU'],[],['HIHI'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Surf Scoter,Melanitta perspicillata,sursco,species,628.0,['SUSC'],[],['MEPE'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
White-winged Scoter,Melanitta deglandi,whwsco2,species,630.0,[],['WWSC'],['MEDE'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Black Scoter,Melanitta americana,blksco2,species,636.0,['BLSC'],[],['MEAM'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Common/Black Scoter,Melanitta nigra/americana,blksco,slash,638.0,[],"['BLSC', 'COSC']","['MEAM', 'MENI']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Long-tailed Duck,Clangula hyemalis,lotduc,species,640.0,['LTDU'],[],['CLHY'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Bufflehead,Bucephala albeola,buffle,species,641.0,['BUFF'],[],['BUAL'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Common Goldeneye,Bucephala clangula,comgol,species,642.0,['COGO'],[],['BUCL'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Barrow's Goldeneye,Bucephala islandica,bargol,species,647.0,['BAGO'],[],['BUIS'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Hooded Merganser,Lophodytes cucullatus,hoomer,species,651.0,['HOME'],[],['LOCU'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Common Merganser,Mergus merganser,commer,species,658.0,['COME'],['GOOS'],['MEME'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Red-breasted Merganser,Mergus serrator,rebmer,species,666.0,['RBME'],[],['MESE'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Common/Red-breasted Merganser,Mergus merganser/serrator,y00224,slash,669.0,[],"['GOOS', 'RBME', 'COME']","['MEME', 'MESE']",Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Ruddy Duck,Oxyura jamaicensis,rudduc,species,674.0,['RUDU'],[],['OXJA'],Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,
Helmeted Guineafowl (Domestic type),Numida meleagris (Domestic type),helgui1,domestic,876.0,[],['HEGU'],['NUME'],Galliformes,Guineafowl,Numididae,,,
Northern Bobwhite,Colinus virginianus,norbob,species,912.0,['NOBO'],[],['COVI'],Galliformes,New World Quail,Odontophoridae,,,
Chukar,Alectoris chukar,chukar,species,1214.0,['CHUK'],['CHPA'],['ALCH'],Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,
Ring-necked Pheasant,Phasianus colchicus,rinphe,species,1437.0,['RNEP'],"['RNPH', 'COPH']",['PHCO'],Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,
Ruffed Grouse,Bonasa umbellus,rufgro,species,1590.0,['RUGR'],[],['BOUM'],Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,
Wild Turkey,Meleagris gallopavo,wiltur,species,1706.0,['WITU'],[],['MEGA'],Galliformes,"Pheasants, Grouse, and Allies",Phasianidae,,,
